ssc_percentage,hsc_percentage,degree_percentage,cgpa,active_backlogs,aptitude_test_score,coding_test_score,technical_interview_score,communication_score,internships_count,projects_count,certifications_count,hackathons_participated,attendance_percentage,extracurricular_participation,work_experience_months,branch,gender,academic_score,skill_score,activity_score,placed
67.9779257046734,83.51176227294776,58.88638058425374,7.59540892568109,3,54.21142225165002,90.07064668136456,99.69261387990231,85.95772140836392,1,5,3,3,81.20567100228271,1,1,Civil,Male,69.00145862698784,82.4831010553202,12,1
95.63428670767598,75.73262558451778,76.0112454741612,7.395909388148655,2,40.81218230563266,63.12756421888069,86.03325312991585,31.71490052822529,3,3,1,4,73.70381320539289,1,6,IT,Female,81.8145718773226,55.42197504566362,11,1
85.13570920694744,64.85732558174374,91.9014001220676,5.1282103290321785,3,31.781343193402563,42.597794109600294,87.58970782041831,86.63437724593824,3,2,3,2,93.7842563793053,1,8,CSE,Female,81.75847048543439,62.15080559233985,10,0
78.73560724145776,89.06216094593353,85.14679454765894,6.7062391381307815,1,75.2075670400539,54.01825483501551,39.920698888727195,63.22372254322458,0,2,3,2,63.57154321380266,0,10,IT,Male,84.39804827528096,58.0925608267553,7,0
57.488894741236955,82.8670962825862,88.71493509734958,6.900978093929285,1,74.58316222183203,23.00568723191259,66.1361919086205,87.57327272721794,0,2,2,2,50.185120341620845,0,1,IT,Male,77.59277134608678,62.82457852239577,6,0
57.487736976137725,57.80561308855478,81.62160160211442,6.994113904484502,0,53.84229166069042,30.229344097793405,25.38047311738943,54.50413650728117,1,5,2,4,58.12806029657075,1,6,IT,Male,67.23664566025352,40.989061345788606,12,1
52.78801338407357,93.72450485570444,83.22927509685692,7.900861846136662,4,35.01983221933557,81.24374004126886,27.593434945733577,50.3232388306428,3,4,3,3,67.4761400584699,1,3,IT,Male,77.24546551067617,48.5450615092452,13,1
91.57645499719689,89.48178766031211,90.76139127513532,7.668012733634392,3,58.674022642666245,20.000930780429293,99.91140896266324,93.2048586013778,0,2,1,3,65.78605648852442,0,10,CSE,Female,90.62202930730683,67.94780524678414,6,0
78.85352056367402,95.59039583801236,61.98406442524092,8.039525463967223,0,51.78522465443755,53.32526627858337,46.13113995407288,40.0935414038721,0,0,3,0,89.56814595614429,0,1,ECE,Male,77.12680069060228,47.83379307274147,3,0
83.98748373421019,84.83453640264128,73.49239825487075,8.824416307710642,4,77.39844478145065,61.800814486847074,79.8547129639077,87.53698602289145,3,2,2,4,84.0280333069419,1,6,IT,Female,80.04356534300373,76.64773956377422,11,1
50.98805572619852,79.44392940491791,60.61805320734091,9.064928693580468,3,72.40454746168832,24.370753600077784,84.53320424214532,58.72164580075233,1,5,1,0,64.97781598074486,1,4,Mechanical,Female,63.376816822271294,60.00753777616594,7,1
96.55567290377573,70.0756657419497,97.40806438383905,8.590615381132473,2,55.5215609738278,97.84625303778662,88.64186168057833,61.12763540410078,1,3,3,4,72.88719085831067,0,0,Civil,Male,88.95262734725326,75.78432777407339,11,1
89.95724675842024,94.77096720099263,95.31484830495744,9.777618479774674,3,45.25247879784931,38.09002649997375,99.81026379217252,44.67746251915872,3,0,4,0,54.77795519791676,0,4,Civil,Male,93.54440350980684,56.95755790228858,7,1
60.19227731255725,91.5710666960196,51.89248694568828,5.091162913381808,1,99.16251763089143,44.33589757090247,39.319718820549426,65.84337604952125,1,2,4,1,94.90732224100503,1,11,Mechanical,Male,66.28599798084836,62.16537751796614,8,0
58.727598425940826,52.17049616509709,83.86760828075305,5.978889928417731,1,61.780113483728044,44.31540098040219,23.228066148775977,46.0168957020969,0,2,3,2,96.77124122242671,0,11,IT,Male,66.8164716896126,43.83511907875078,7,0
58.80341647296483,51.265614775868094,94.41191923595196,5.0378143748907105,2,78.17919650461658,38.43333296938799,52.89532143956688,23.141553139332185,3,1,1,2,98.99017676904691,0,2,CSE,Female,70.78547706903066,48.16235101322591,7,0
64.60362766205782,68.07024161014638,58.66761656611201,8.237373570773014,0,39.838707730485254,20.11790576690491,30.406453586315756,41.75988842754848,0,4,3,3,93.42764153929188,1,6,ECE,Female,63.26920740810606,33.0307388778136,10,1
75.18830871834741,88.90655987752798,77.26137106652621,9.490152744749935,4,63.991278976157844,78.34758352703972,21.79407113296441,20.510323472527254,2,0,3,1,58.698044384811276,1,5,Civil,Female,80.1330090053731,46.16081427717231,6,0
70.73336089482156,97.38925420711733,93.943438284226,6.217411482881497,3,31.927570390862584,97.34763998394283,48.83414617131889,98.26838296454854,2,1,2,2,52.30982416008144,1,7,ECE,Male,88.01415984427206,69.0944348776682,7,0
63.97899872950601,57.22001077296935,51.629406972118346,9.635172723981533,1,65.3818582537315,37.94347866280361,82.69906008601892,97.2597767855798,1,3,4,3,78.9798363706337,0,4,CSE,Female,57.01146563958994,70.82104344703345,11,1
79.3689389466742,78.5182743369025,83.47617282784832,5.301336951447804,0,97.48121849823916,73.0437753442738,65.29445529800567,51.6124237977844,2,4,2,1,95.63025134415551,1,1,Civil,Male,80.75663311621233,71.85796823457576,9,1
56.695705311298006,68.28276111828903,64.27275235388244,9.67218013402757,2,56.89446990900602,79.3517061566972,45.022239136828325,78.26966834717169,0,0,2,2,58.86756808298714,0,8,ECE,Female,63.20264087042908,64.88452088742581,4,1
64.02294312969047,96.55589109510095,94.37101737807346,6.7581134361981725,1,32.72972088024381,87.87403032724198,72.34736043941757,47.664487872834,2,2,3,0,50.352145731207095,1,10,CSE,Male,85.92205721866681,60.15389987993434,7,0
67.5853684780972,90.42170831051402,96.61079576793765,5.5071041422460825,2,32.16690536435405,53.81033576108873,38.561454424704856,73.68745256687808,0,0,2,4,90.27480230161223,1,7,ECE,Female,86.04644134375843,49.55653702925643,6,0
71.89135924241772,90.23977782613461,95.32479147744482,7.429358795931629,3,57.159073196280865,44.23447245123434,21.150515685766802,84.43440344367832,1,2,4,1,53.8397842143367,0,5,IT,Female,86.76925771154362,51.74461619424008,8,0
